name,street,city,zip,email,description,url,facilities,activities,
Mancos,42545 County Road N.,Mancos,81328,mancos.park@state.co.us,"Surrounded by the stunning scenery of the San Juan Mountains and the archaeological mysteries of southwestern Colorado, Mancos is a great basis for a vacation or getaway any time of year. The calm waters of Jackson Gulch Reservoir offer spring, summer and fall recreation for canoeists, kayakers and wakeless power boaters. Swimming and water skiing are not permitted. Anglers will find abundant yellow perch, and the lake is stocked with rainbow trout in spring and summer. Winter visitors can enjoy crosscountry skiing, snowshoeing and ice fishing. Up for exploring on foot, by bike or on horseback? The park’s 5.2 miles of trails connect to a network of trails in the national forest as well as the Colorado Trail. Located just 12 miles from Mesa Verde National Park and close to the Anasazi Heritage Center, Durango-Silverton Narrow Gauge Railroad and the San Juan National Forest, Mancos makes a great camping headquarters for touring the area. Nestled in the shade of a ponderosa pine forest, the 23-site main campground has water and vault toilets but no electrical hookups. Nine rustic tent sites on the northwest side of the lake have restrooms but no water. Two cabin-like, heated yurts offer a unique overnight experience.",http://cpw.state.co.us/placestogo/Parks/mancos,"basic campsites, boat ramp, dump station, group picnic area, picnic sites, yurts","biking, boating, crosscountry skiing/snowshoeing, fishing, hiking, horseback trails, ice fishing, ranger/ nature programs, wildlife/bird viewing, winter camping",
Mueller,21045 Highway 67 South,Divide,80814,mueller.park@state.co.us,"Hushed forests, spring-fed mountain meadows, wildflowers of every hue, massive granite rock formations, and the iconic form of Pikes Peak rising above. At Mueller, visitors can enjoy a wonderful outing in the mountains within easy drive of Front Range communities. With more than 5,100 acres of terrain, Mueller is an outstanding destination for nature study, wildlife viewing and outdoor recreation. Its forests of spruce, fir, pine and aspen, and meadows of native grasses and wildflowers, are home to elk, mule deer, black bears, bobcats, mountain lions, pine squirrels, many small mammals and more than 100 species of birds. Visitors will discover great activities any time of year. Explore the 55 miles of trails on foot, mountain bike or horseback, find a secluded picnic spot, fish a backcountry trout pond, watch birds, discover the four geocaches and hunt in the 800-acre hunting area. In winter there’s cross-country skiing, snowshoeing and sledding. Extend your visit with a stay at one of the park’s three furnished log cabins. Or try the campground, located in a mountain forest with panoramic views of the Continental Divide. Leashed pets are welcome in the campground, at picnic areas and on paved roads but are not allowed on hiking trails or in the backcountry",http://cpw.state.co.us/placestogo/Parks/Mueller/,"visitor center, basic campsites, cabins, campsites with electric, dump station, group campground, laundry, picnic sites, showers","biking, cross-country skiing/snowshoeing, fishing, hiking, horseback trails, geocaching, hunting, ranger/nature programs, snow tubing, wildlife/bird viewing, winter camping",
Navajo,1526 County Road 982,Arboles,81121,navajo.park@state.co.us,"Some call it ""Colorado’s Lake Powell."" For sailors, houseboaters, motorboat enthusiasts, canoeists and anyone who enjoys water sports in a spectacular setting, Navajo Reservoir may be just that. Extending 20 miles south into New Mexico along the San Juan River, and another 15 miles north along the Pine River, Navajo is a recreation paradise. Its 15,000 surface acres of water and 150 miles of shoreline offer nearly unlimited boating recreation under the sunny, southwestern sky. The fullservice Two Rivers Marina has boat slips and mooring balls, boat rental, gas and supplies. Anglers can go after northern pike, trout, bluegill, large-and smallmouth bass, catfish and crappie. Two-thirds of the reservoir is in New Mexico, so visitors must observe that state’s boating rules and anglers south of the state line require a New Mexico fishing license. An overnight stay is almost a must here, and there is a wide variety of campsites, from primitive tent sites to full-service hookups. Or guests can reserve one of three two-bedroom, fullyfurnished log cabins. Wildlife watchers may see deer, elk, foxes, beavers, muskrats, river otters, jackrabbits, prairie dogs and numerous bird species. In winter, bald eagles hunt along the lake and shore. The Sambrito Wetlands and the watchable wildlife viewing area near the narrow gauge railroad bridge are particularly good spots to visit. There are some opportunities for deer, elk and bird hunting.",http://cpw.state.co.us/placestogo/Parks/Navajo,"visitor center, basic campsites, boat ramp, boat rental, cabins, campsites with electric, dump station, full-hookup campsites, laundry, marina, mooring/docking, picnic sites, primitive campsites, shower","biking, boating, cross-country skiing/snowshoeing, fishing, hiking, horseback trails, hunting, jet skiing, ranger/nature programs, sail/paddle sports, swimming, water skiing, wildlife/bird viewing, winter camping",
North Sterling,24005 County Road 330,Sterling,80751,north.sterling.park@state.co.us,"Boating, fishing, prairie sunshine and pioneer history come together at this nearly 3,000-acre reservoir on the Eastern Plains. Early settlers made their way past on the historic Overland Trail and some stayed to build this irrigation reservoir that is now part of a state park. Today’s visitors make their way here to sail, jet and water ski, canoe, paddleboard, powerboat or just relax and enjoy the majestic bluffs and expansive views of the Colorado prairie stretching miles to the horizon. Anglers will find an excellent warm-water fishery featuring wiper, walleye, channel catfish, yellow perch, bluegill, northern pike, crappie and trout. There is swimming at the Cottonwood Cove Swim Beach, and the 3.5 mile South Shoreline Trail lets hikers, bikers and horseback riders explore the lakeshore. Wildlife watchers will find an abundance of prairie species including pronghorn, mule deer, coyotes, jackrabbits, prairie dogs, and various reptiles. This is a great place for bird watching, particularly in migration, with more than 275 species on the bird list. Winter is a good time to see bald eagles. The three campgrounds offer 141 campsites, many with full hookups. All campgrounds have showers, restrooms and laundry facilities, making a multiday stay at the park comfortable. There is hunting in designated areas, restricted to archery and shotguns with bird shot only",http://cpw.state.co.us/placestogo/Parks/northsterling,"visitor center, archery range, boat ramp, basic campsites, campsites with electric, dump station, group picnic area, laundry, marina, mooring/docking, picnic sites, primitive campsites, shower","biking, boating, crosscountry skiing/snowshoeing, fishing, hiking, horseback trails, hunting, ice fishing, ranger/nature programs, sail/ paddle sports, swimming, water skiing, wildlife/bird viewing, winter camping",
Paonia,3111 County Rd 12,Somerset,81434,crawford.park@state.co.us,"With the majestic Ragged Mountains rising above, and surrounded by the Gunnison National Forest, Paonia is a park nestled amid spectacular mountain scenery that can be a staging area for exploring the neighborhood or just relaxing. The 334-acre lake along the North Fork of the Gunnison River offers opportunities for jet and water skiing, powerboating, sailing, sailboarding, canoeing and other water sports. Activities may vary as the water level changes on this long, narrow reservoir. When the reservoir is full, boats and skiers can travel up to two miles in one direction before having to turn around. Visitors can fish in the reservoir from mid-June to mid-August, but may have better luck fly fishing for trout in streams below the dam. There are no hiking trails but visitors can picnic near the water. Two campgrounds offer 11 scenic but primitive campsites with no hookups and only vault toilets. There is no drinking water available at the park. Paonia closes for winter between early October and May and no services are available. Visitors can still explore and cross-country ski or snowshoe along the lake’s shore.",http://cpw.state.co.us/placestogo/Parks/paonia,"boat ramp, picnic sites, primitive campsites","boating, fishing, hunting, jet skiing, sail/paddle sports, water skiing, wildlife/bird viewing",
Pearl Lake,61105 RCR 129,Clark,80428,steamboat.lake@state.co.us,"Like a jewel nestled in the mountain forest of northern Colorado, Pearl Lake State Park is a place of beauty and quiet at the base of Farwell Mountain. Visitors will find outdoor diversions that are uncomplicated and low-tech—hiking, picnicking, camping, fishing, wakeless boating and wildlife watching. On the watchable wildlife viewing deck, visitors can sit back and let wildlife come into view. The shoreline trail edges the lake and links hikers and bikers with thousands of acres in the Routt National Forest. Anglers will discover excellent fly and lure fishing for native cutthroat trout and grayling. Campers can set up on the shoreline or on a ridgeline with superb views. Those who want full-service camping should look elsewhere as the campground offers no-frills camping with no electrical hookups. Flush restrooms and water hydrants are available. For a different experience, visitors can enjoy an overnight in one of the park’s two yurts. Winter activities include the quiet beauty of snowshoeing, cross-country skiing and ice fishing.",http://cpw.state.co.us/placestogo/Parks/pearllake,"boat ramp, basic campsites, picnic sites, yurts","biking, boating, cross-country skiing/snowshoeing, fishing, hiking, horseback trails, hunting, ice fishing, snowmobiling, wildlife viewing",
Ridgway,28555 Highway 550,Ridgway,81432,ridgway.park@state.co.us,"With the jagged peaks of the San Juan Mountains as a backdrop and the lush Uncompahgre River Valley all around, Ridgway is among the most beautiful parks in the state. Admiring the view is just one of the many diversions here. The waters of Ridgway Reservoir offer boating of all kinds, sailing, swimming and water skiing. Anglers can try their luck for kokanee salmon, rainbow and brown trout in the reservoir, and have a choice of fishing ponds or fly fishing along the Uncompahgre River. Wildlife viewing is outstanding. Visitors might see elk and deer, golden and bald eagles, osprey, foxes, marmots, even the occasional mink. More than 140 species of birds have been recorded here. Hikers, bikers and strollers can explore 16 miles of trails winding through the park. There are three geocache sites. Overnighting here is a special treat. Choices at the three campgrounds include full-service RV sites, electric, tents-only areas, many with elevated tent pads and even three heated yurts!",http://cpw.state.co.us/placestogo/Parks/ridgway,"visitor center, basic campsites, boat ramp, campsites with electric, dump station, full-hookup campsites, group picnic area, fish-cleaning station, laundry, mooring/docking, picnic sites, shower, yurts","biking, boating, crosscountry skiing/snowshoeing, fishing, geocaching, hiking, hunting, ice fishing, ice skating, jet skiing, ranger/ nature programs, sail/paddle sports, snow tubing, swimming, water skiing, wildlife/bird viewing, winter camping",
Rifle Falls,5775 Highway 325,Rifle,81650,rifle.gap.park@state.co.us,"A 70-foot, triple waterfall, with crashing water, misty clouds of spray, dripping moss, lush vegetation and mysterious limestone caves make Rifle Falls a spectacular destination. Sunset magazine named it one of the “10 Best Waterfalls” in the West. With its unique and beautiful setting, this popular park attracts movie crews and photographers from all over. The 50-seat Mountain Mist Amphitheater is popular for weddings and special events. Three hiking trails wander along East Rifle Creek through lush riparian habitat to an overview at the top of the falls, the caves beyond and on to the very-interesting Rifle Falls Fish Hatchery. Bring a flashlight if you plan on exploring the cave with the soaring, 90-foot room! There is good trout fishing in the creek. The small campground offers drive-in and walk-in campsites and reservations are recommended. The park is very popular, especially in summer, so plan ahead and arrive early.",http://cpw.state.co.us/placestogo/Parks/RifleFalls,"campsites with electric, picnic sites, primitive campsites","biking, cross-country skiing/snowshoeing, fishing, hiking, ranger/nature programs, winter camping",
Rifle Gap,5775 Highway 325,Rifle,81650,rifle.gap.park@state.co.us,"Do you enjoy boating, fishing, sailing, water skiing, swimming or other water sports? Then you’ll love the clean, clear waters of Rifle Gap Reservoir, set at the foot of the majestic Grand Hogback. Year-round fishing offers near-record perch and northern pike, as well as trout, bass and walleye. The park is known as a top ice-fishing destination. Five campgrounds provide tent and drive-in sites and full service facilities. Swimming is allowed only at the swim beach. Wildlife watchers may see mule deer, elk, coyotes, weasels, rabbits, ground squirrels and great horned owls — often right from their campsite. Herons, osprey, golden and bald eagles and a variety of waterfowl are often seen on, around or flying over the reservoir. Lucky visitors may spot beavers along the creek and small lizards sunning on the rocks. There are no trails for hiking or biking in the park, but there is easy access to adjacent Bureau of Land Management (BLM) land and trails.",http://cpw.state.co.us/placestogo/Parks/riflegap,"visitor center, boat ramp, dump station, group picnic area, picnic sites, primitive campsites","biking, boating, crosscountry skiing/snowshoeing, fishing, hunting, ice fishing, ice skating, jet skiing, ranger/nature programs, sail/paddle sports, snow tubing, swimming, water skiing, wildlife viewing, winter camping",
Roxborough,4751 East Roxborough Drive,Roxborough,80125,roxborough.park@state.co.us,"When it comes to representing “old Colorado,” early ranches and homesteads have nothing on this park’s headliners—millionyear-old sandstone monoliths jutting dramatically skyward. Hiking and nature study are foremost at this park. Hikers will find a variety of scenic trails of varying difficulty, including the 6.2-mile round-trip trail to the top of Carpenter Peak. The diversity of flora and fauna is particularly rich because of varying elevations and the park’s location where the mountains meet the prairie. Different plant communities grow on the shady versus sunny sides of the rock formations. Roxborough is a Colorado Natural Area, National Natural Landmark and Audubon Society Important Bird Area. The visitor center offers an active education, interpretation and nature-study program. To protect the park’s fragile ecosystem, pets are not permitted in the park, rock climbing is not allowed and bikes are restricted to the main roads. There are no picnic facilities, and water and restrooms are limited to the visitor center.",http://cpw.state.co.us/placestogo/Parks/roxborough,visitor center,"hiking, cross-country skiing/ snowshoeing, ranger/nature programs, wildlife/bird viewing",
St. Vrain,3525 State Highway 119,Firestone,80504,st.vrain.park@state.co.us,"American white pelicans sailing like ships, bald eagles patrolling the air, egrets and herons poised in the shallows, all with the twin summits of Longs Peak and Mount Meeker rising to the west, make St. Vrain a wonderful park for nature study or a day of recreation in the outdoors. Not to mention some spectacular Front Range sunsets! Ten ponds are currently open to public use, with four more under development, where visitors can fish for 15 different species. With ponds from tiny to large, it’s a great place for kids to learn to fish. Boating is limited to hand- or footpropelled, or electric motor craft on the smaller ponds. On Blue Heron Reservoir, wake-less motors up to 10 horsepower are allowed. Hikers, bikers, photographers and birdwatchers will find 4 miles of easy trails and roads. Located where St. Vrain Creek empties from the mountains onto the plains, the diverse birdlife includes waterfowl, raptors and songbirds. The eight campgrounds are open year-round, though reservations are recommended spring through fall.",http://cpw.state.co.us/placestogo/Parks/stvrain,"boat ramp, campsites with electric, dump station, picnic sites, shower","biking, boating, crosscountry skiing/snowshoeing, fishing, hiking, ice fishing, ice skating, ranger/ nature programs, wildlife/bird viewing",
San Luis,16393 Lane 6 North,Mosca,81146,sanluis.park@state.co.us,"Set in a high mountain valley with views of the scenic Sangre de Cristo Mountains and Great Sand Dunes, this park is a peaceful oasis amid a unique high desert ecosystem. Adjacent wetlands, lakes and open valley mean the park is a great place to see birds and wildlife. Waterfowl, shorebirds, songbirds and raptors are frequent visitors. Coyotes, elk, mule deer, kangaroo rats, rabbits and a variety of reptiles and amphibians find habitat here. Visitors can hike or bike four miles of trails among low dunes and wetlands in the wildlife area, depending on the season. Water levels fluctuate in this irrigation reservoir, so check conditions before your visit. There has been no water present in this lake for several years. When the water level is normal, visitors can enjoy water skiing, motor and selfpropelled boating, fishing, sailing and windsurfing. Swimming is prohibited. The campground offers full electrical hookups, and the panoramic view of the mountains and the sand dunes is magnificent.",http://cpw.state.co.us/placestogo/Parks/Sanluis,"boat ramp, campsites with electric, dump station, shower, laundry, picnic sites","biking, cross-country skiing/snowshoeing, hiking, hunting, ranger/nature programs, wildlife/bird viewing",
Spinney Mountain,4229 County Road 92,Lake George,80827,eleven.mile.park@state.co.us,"The view of the Collegiate Peaks is spectacular. The mountain air is clean and fresh. The birds and wildlife are abundant. But it’s the fishing that makes Spinney Mountain a special place. Built along the South Platte River in South Park, this day-use-only park offers Gold Medal fishing waters, yielding trophy-size cutthroat, rainbow and brown trout and northern pike. Only artificial lures and flies may be used. The park is great for bird watching, with more than 220 species of water, wading and shorebirds, raptors and songbirds. Boating, sailing and windsurfing (full-body wetsuit recommended) are allowed, but not water skiing, swimming, wading or scuba diving. There is no camping inside the park, but campers can stay at Eleven Mile State Park, seven miles east. The reservoir’s islands are closed to public use to protect nesting waterfowl. The park is closed when the reservoir is iced over so the open season is approximately April 15 to November 15.",http://cpw.state.co.us/placestogo/Parks/spinneymountain,"picnic sites, boat ramp","boating, fishing, hunting, jet skiing, sail/paddle sports, wildlife/bird viewing",
Stagecoach,25500 R Co Rd 14,Oak Creek,80467,stagecoach.park@state.co.us,"With a 3-mile long reservoir set amid fragrant sagebrush, and great views of the Flat Top Mountains, Stagecoach offers wonderful outdoor recreation in the lush Yampa Valley. Anglers will find good cold-water fishing in this lake known for its fast-growing and hard-fighting rainbow trout, as well as northern pike and a few brown trout. Two hundred bird species await birdwatchers, including white-faced ibis, American white pelicans, mountain bluebirds and both dusky and sharp-tailed grouse. Mule deer, elk, cottontails and many other mammals are common. Waterfowl and small-game hunting are allowed in some areas. Stagecoach has eight miles of trails for hiking, biking and horseback riding. Boaters, jet and water skiers, sailors and canoeists will find good recreation, with both wakeless and nonwakeless areas, as well as rentals and a fullservice marina. Winter is especially quiet for ice fishing, snowshoeing and cross-country skiing. Four campgrounds provide 92 sites, with four electrical campsites maintained for winter camping.",http://cpw.state.co.us/placestogo/Parks/stagecoach,"basic campsites, boat ramp, boat rental, campsites with electric, dump station, group campground, group picnic area, marina, mooring/docking, picnic sites, primitive camping, shower","biking, boating, cross-country skiing/snowshoeing, fishing, hiking, horseback trails, hunting, ice fishing, jet skiing, ranger/ nature programs, sail/paddle sports, snowtubing, swimming, water skiing, wildlife/bird viewing, winter camping",
State Forest,56750 Highway 14,Walden,80480,state.forest@state.co.us,"Rugged mountains, alpine lakes, spectacular scenery and countless outdoor recreation opportunities make this 71,000-acres of State Forest State Park a high-country jewel. Oh, did we mention moose? With a population of around 600, moose can be viewed year-round. The Moose Visitor Center is the place to start for moose viewing. In the summer, visitors can hike, ride horses, bike and four-wheel through all kinds of terrain. Other recreation opportunities include geocaching and hunting. There are four campgrounds, designated dispersed campsites, back-country camping as well as cabins and yurts. Anglers will find outstanding fishing along the Canadian and Michigan rivers, on the North Michigan Reservoir and Ranger Lakes as well as the many alpine lakes in the park. Winter offers cross-country skiing, snowshoeing, telemarking, snowboarding, snowmobiling, tubing, sledding and quiet enjoyment of the snowy landscape. Bird and wildlife watching are outstanding here, amid forests, slopes, cliffs, creeks, alpine tundra and mountain meadows. Geology enthusiasts will discover sand dunes, glacialcarved cirques and more.",http://cpw.state.co.us/placestogo/Parks/stateforest,"visitor center, basic campsites, boat ramp, cabins, campsites with electric, dump station, horse corral, mooring/docking, picnic sites, primitive campsites, yurts","biking, boating, cross-country skiing/snowshoeing, fishing, geocaching, hiking, horseback trails, hunting, ice fishing, ice skating, OHV, rock climbing, ranger/ nature programs, sail/paddle sports, snowtubing, snowmobiling, wildlife/ bird viewing, winter camping",
Staunton,12102 S. Elk Creek Road,Pine,80470,staunton.park@state.co.us,"With features like Lions Head, Chimney Rock and Elk Falls, outdoor lovers know they will enjoy a wonderful day at Staunton, Colorado’s newest state park. A mosaic of meadows, granite cliffs, mountain forests and swift streams offers stunning scenery, recreation and nature appreciation within an easy drive of Denver. More than 20 miles of trails beckon for hikers, bikers and horseback riders. Some trails are hiking-only. Climbing is allowed in the Staunton Rocks area and there is fishing in ponds and streams. Wildlife watchers may glimpse elk, deer, bobcats, coyotes, bears, Abert’s squirrels and more. Forest birds, raptors and riparian species such as dippers and kingfishers will delight birdwatchers. History buffs will discover the Staunton family cabin, an early sawmill and a sportsman’s club. The initial acreage of the park was willed to the state by Francis H. Staunton “to be preserved…as a natural wilderness-type park…” This 3,800-acre park is currently day-use-only, so there is no camping.",http://cpw.state.co.us/placestogo/parks/staunton,"picnic sites, group picnic area","biking, cross-country skiing/snowshoeing, fishing, geocaching, hiking, horseback trails, ranger/nature programs, rock climbing, wildlife viewing",
Steamboat Lake,61105 RCR 129,Clark,80428,steamboat.lake@state.co.us,"Stunning mountain scenery and outdoor fun four seasons of the year await visitors to Steamboat Lake. At 8,100 feet elevation, with breathtaking views of Hahns Peak and the Park Range, the park beckons hikers and mountain bikers with over seven miles of trails connecting to more in the surrounding Routt National Forest. Wildlife watchers may glimpse sandhill cranes, bald eagles, osprey, elk, deer, bears, coyotes, foxes and a variety of small mammals and birds. With more than 300 inches of snow a year, plus a Nordic touring center with groomed trails, snowmobilers, snowshoers and cross-country skiers will find a winter-fun paradise. Overnight visitors can camp in the campgrounds (tent and full-service sites available) or rent one of 10 cabins. The 1,100- acre lake accommodates motorboats, jet skis and sail and handpowered craft. There’s a full-service marina with boat and dock rentals. Campers can leave their boats along the shore near their campsite. The park’s popularity means you should arrive early and make campground reservations, especially for summer weekends.",http://cpw.state.co.us/placestogo/Parks/SteamboatLake,"visitor center, basic campsites, boat ramp, boat rental, cabins, campsites with electric, dump station, laundry, marina, mooring/docking, picnic sites, shower","biking, boating, crosscountry skiing/snowshoeing, fishing, geocaching, hiking, horseback trails, hunting, ice fishing, jet skiing, ranger/ nature programs, sail/paddle sports, snowmobiling, swimming, water skiing, wildlife viewing, winter camping",
Sweitzer Lake,1735 E Road,Delta,81416,sweitzer.park@state.co.us,"A place to have fun. That’s what Sweitzer Lake is all about. While many state park lakes hold irrigation water, Sweitzer Lake was built solely for recreation, fulfilling land-donor Morgan Sweitzer’s vision of a place for the community to enjoy the outdoors. There’s powerboating, sailing, jet and water skiing, sailboarding and canoeing. Swimming is permitted in the swim area only. This is a day-use-only park, so there is no camping but it’s a popular picnic spot. Set against the backdrop of the San Juan Mountains, Uncompahgre Plateau and Grand Mesa, this lake has been called the “oasis on the edge of the desert.” One hundred seventy-nine bird species have been seen in the area, and the lake is a good place to spot waterfowl. Fishing is strictly catch-and-release, so this is a good place for youngsters to learn to hook catfish, bluegill, green sunfish and carp. There is limited hunting in some areas and on certain days",http://cpw.state.co.us/placestogo/Parks/sweitzerlake,"visitor center, boat ramp, group picnic area, picnic sites","biking, boating, fishing, hiking, hunting, jet skiing, ranger/nature programs, sail/ paddle sports, swimming, water skiing, wildlife/bird viewing",
Sylvan Lake,10200 Brush Creek Road,Eagle,81631,sylvan.lake@state.co.us,"Sylvan means a peaceful, wooded place and that’s what visitors will find at this beautiful park surrounded by the White River National Forest. Stunning mountain scenery, abundant recreation, wildlife to watch and top-notch fishing provide year-round diversion. Anglers can try for rainbow, cutthroat, brook and brown trout in the lake and streams. Hikers will find more than seven miles of state park trails and easy access to the national forest. Canoeists, kayakers, paddleboaters and electricmotor boaters can enjoy the water in the warm months. Swimming is not allowed. Winter offers snowshoeing, cross-country skiing, ice fishing, ice skating, sledding and access to snowmobile trails. Nature lovers can explore the lake, meadows and aspen and pine-covered slopes, keeping an eye out for the wildlife and birds of mountain habitats. Staying overnight is a special treat, whether in the campground, a cabin or a yurt. DIRECTIONS: To Sylvan Lake cabins and campground: Take I-70 to Eagle (exit 147). Turn south through the Eby Creek roundabouts, continue under the railroad and across the river, then west on US Hwy. 6 (Grand Ave) for 0.9 miles. At the roundabout take the third exit onto Sylvan Lake Road and travel 1.7 miles. Turn south on Brush Creek Road and travel 8.5 miles to the visitor center. Continue until the road forks. Take the right fork and travel 5 miles to the lake. To Brush Creek yurts: Follow above directions, but turn left at the fork. After 4.5 miles, the yurts will be on the left at the top of the switchbacks.",http://cpw.state.co.us/placestogo/Parks/sylvanlake,"visitor center, basic campsites, boat ramp, boat rental, cabins, dump station, group campground, picnic sites, shower, yurts","biking, boating (nonmotorized), cross-country skiing/snowshoeing, fishing, geocaching, hiking, horseback trails, hunting, ice fishing, ice skating, jet skiing, OHV, ranger/ nature programs, snowmobiling, snowtubing, wildlife viewing, winter camping",
Trinidad Lake,32610 Highway 12,Trinidad,81082,trinidad.lake@state.co.us,"Sunshine, piñon pine and juniper-covered hills, great fishing, water sports, abundant birds and wildlife, rich history and heritage. At Trinidad Lake, visitors can roll any or all of these attractions into an outstanding day, weekend or extended vacation. With its semi-desert climate and plenty of sunshine, many outdoor activities are year-round. Easily accessible from I-25, the lake offers jet and water skiing, sailing, power boating, canoeing and other water sports. Anglers can try their luck for rainbow and brown trout, bass, catfish, walleye, crappie and bluegill. The scenic campground offers full hookups and services. There are miles of trails winding through ancient and interesting local history, spectacular scenery and great wildlife viewing. A functional horno (adobe oven) and Native American archaeological site are near the amphitheater. The park makes a good base camp to explore area attractions like the Santa Fe Trail, Highway of Legends Scenic Byway and the historic mining town of Trinidad.",http://cpw.state.co.us/placestogo/parks/trinidadlake,"visitor center, archery range, basic campsites, boat ramp, campsites with electric, dump station, full-hookup campsites, group campground, group picnic area, laundry, mooring/docking, picnic sites, shower","biking, boating, cross-country skiing/snowshoeing, fishing, geocaching, hiking, horseback trails, hunting, ice fishing, ice skating, jet skiing, ranger/nature programs, sail/ paddle sports, water skiing, wildlife/bird viewing, winter camping",
Vega,15247 N. 6/10 Rd,Collbran,81624,vega.park@state.co.us,"Vega is Spanish for ""meadow"" and in this park visitors will find lush montane meadows filled with wildflowers. Set at 8,000 feet on the northeast edge of Grand Mesa, Vega is a great yearround destination for enjoying the Colorado outdoors. The meadows and surrounding slopes of aspen and mountain shrubs beckon hikers, bikers, horseback riders and bird and wildlife watchers. There’s easy access to hundreds of miles of trails in Grand Mesa National Forest. Horse corrals are available for rent. The 900-acre reservoir offers good trout fishing and opportunities for sailing, canoeing, jet and water skiing and other water sports, though swimming is not allowed. In summer, osprey nest atop a platform at the edge of the lake and hunt dramatically above the water. Four campgrounds surround the lake, with 113 sites including basic campsites and campsites with electrical. For a different overnight experience, there are five cozy, year-round cabins. The Meadows Group Picnic Area is popular for outdoor mountain weddings.",http://cpw.state.co.us/placestogo/Parks/vega,"visitor center, basic campsites, boat ramp, cabins, campsites with electric, dump station, fish-cleaning station, group picnic area, picnic sites, shower, stable/horse rental","boating, cross-country skiing/snowshoeing, fishing, hiking, hunting, ice fishing, ice skating, jet skiing, OHV, ranger/nature programs, sail/paddle sports, snowmobiling, snow tubing, water skiing, wildlife viewing, winter camping",
Yampa River,6185 US Highway 40,Hayden,81639,yamp.river@state.co.us,"Want to discover a river of stunning beauty, abundant wildlife and outstanding recreation? This unique state park stretches for 134 miles along northern Colorado’s iconic Yampa River, offering boating, camping, excellent fishing and the chance to glimpse bird and wildlife on water, on land and in the air. Rafters, canoeists and kayakers will discover miles of flat water and Class I to V river boating. Visitors can begin their discovery at the visitor center near Hayden, which has a full-service campground, information, nature trail and easy river access.",http://cpw.state.co.us/placestogo/Parks/yampariver,"visitor center, nature center, basic campsites, campsites with electric, dump station, group campground, group picnic area, laundry, picnic sites, shower, tipis","biking, boating, cross-country skiing/snowshoeing, fishing, hiking trails, ice skating, ranger/nature programs, snow tubing, wildlife/bird viewing",
